Student,LPIPS,SSIM
112590023.png,0.0010057418840005994,0.9997505180628695
112590044.png,0.2114812433719635,0.7566534337627054
112590014.png,0.24664348363876343,0.7596996437861283
110590456.png,0.287079393863678,0.7199409218257045
112590060.png,0.29168230295181274,0.7232137635775873
112590029.png,0.29528647661209106,0.7846868410326026
112590017.png,0.2966476380825043,0.7032263426288564
112590004.png,0.2982380986213684,0.7410349708870864
112590035.png,0.3007313013076782,0.6826751485208535
112590013.png,0.3027818202972412,0.792270739579811
112590007.png,0.305794894695282,0.7120135393316139
112590036.png,0.310414582490921,0.739400948585914
109810011.png,0.32604673504829407,0.6546083353214519
112590005.png,0.3284010887145996,0.6969690903773338
112590026.png,0.33112308382987976,0.6992410704843038
112590022.png,0.3373521566390991,0.6883049164493559
112590041.png,0.3374694883823395,0.6992250868919657
112590038.png,0.34298259019851685,0.7048615643008396
112ab0053.png,0.34616556763648987,0.7453039778053038
112590020.png,0.35543376207351685,0.6822927384515861
112590021.png,0.38078442215919495,0.613179748949313
112590057.png,0.38189250230789185,0.6272696626843469
112590012.png,0.39724454283714294,0.7583930598472605
111332012.png,0.399522602558136,0.6627988881678859
111820017.jpg,0.4147460162639618,0.6670384595862684
112590033.png,0.41546863317489624,0.6949555777054038
113378043.png,0.4209354519844055,0.6613961746332009
112590009.png,0.42500701546669006,0.6396857849620816
112590003.png,0.43091705441474915,0.6471340746022318
110820009.png,0.43127334117889404,0.6345978145077729
112590030.png,0.442604660987854,0.6565419715495812
112590051.png,0.44311612844467163,0.5707677239596329
112590052.png,0.46279004216194153,0.547985324890694
112590031.png,0.46340110898017883,0.5377775684434264
110590041.png,0.47821879386901855,0.65518898169502
112590018.png,0.4869825541973114,0.5302740271216965
112590053.png,0.4893944263458252,0.5566916270781472
112590024.png,0.5109512805938721,0.5529535064173615
